Date,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ,XLE,XLF,XLK
2018-01-31,43.1065788269043,59.01660919189453,127.6500015258789,87.55519104003906,142.23171997070312,161.15924072265625,250.22332763671875,100.5624771118164,59.542076110839844,53.72373580932617,25.745681762695312,63.425533294677734
2018-02-01,42.523719787597656,59.1844596862793,128.07000732421875,87.1035385131836,142.67747497558594,159.78927612304688,249.9392852783203,99.10504150390625,58.26055145263672,54.276390075683594,25.988080978393555,63.48114776611328
2018-02-02,41.43401336669922,57.98558044433594,126.38999938964844,86.7809066772461,139.9303436279297,156.6022491455078,244.49813842773438,98.1854476928711,57.765933990478516,52.008296966552734,25.416723251342773,61.60015869140625
2018-02-05,39.9810791015625,55.55587387084961,126.70999908447266,87.49407196044922,134.55433654785156,150.42796325683594,234.27259826660156,99.11328887939453,56.04976272583008,49.82632827758789,24.135494232177734,59.02419662475586
2018-02-06,41.28195571899414,56.65082931518555,125.37999725341797,87.11200714111328,136.16441345214844,154.4141082763672,238.8882598876953,98.49749755859375,56.05723571777344,50.22109603881836,24.576997756958008,60.7198600769043
2018-02-07,39.9810791015625,56.0514030456543,124.79000091552734,86.85734558105469,136.3008575439453,152.4163055419922,237.5923309326172,97.56138610839844,55.81742858886719,49.38131332397461,24.59431266784668,59.9415397644043
2018-02-08,38.5957145690918,54.588768005371094,124.9800033569336,86.9337387084961,132.29844665527344,145.98516845703125,228.68052673339844,97.45470428466797,54.21363830566406,47.888404846191406,23.512197494506836,57.458251953125
2018-02-09,39.21236801147461,54.8205451965332,124.7699966430664,86.7809066772461,133.50820922851562,148.50624084472656,232.11561584472656,96.83889770507812,55.570106506347656,47.85250473022461,23.962358474731445,58.866676330566406
2018-02-12,39.82901382446289,55.659759521484375,125.37000274658203,86.75546264648438,134.77261352539062,151.14144897460938,235.52415466308594,97.2658462524414,55.59260559082031,48.63487243652344,24.29997444152832,59.92300033569336
2018-02-13,40.13312530517578,55.49192428588867,126.08000183105469,86.89976501464844,135.06373596191406,151.9215850830078,236.11004638671875,97.70104217529297,55.98229217529297,48.43388748168945,24.40386199951172,60.07126235961914
